Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
39,1,1,3,22.79705354683466,0,0,15,171,33,35,0
43,0,1,0,3.423246414206128,0,0,10,88,97,27,2
47,1,3,2,2.0447501741269525,1,0,11,37,30,0,2
35,1,1,1,21.34963152415996,0,1,0,88,78,25,1
24,0,0,3,15.118616702519311,0,2,0,174,43,15,1
46,1,2,0,17.112442125404545,0,2,3,179,15,32,2
39,1,1,0,19.38915877516261,0,1,14,118,66,29,0
25,1,1,0,19.88964289309706,0,2,9,16,28,7,1
20,1,3,1,4.90938190359313,0,1,4,149,76,34,2
28,0,3,1,20.87013112335063,0,0,15,115,19,7,0
27,1,0,1,7.413218116957669,0,1,12,62,59,27,2
22,1,0,0,9.82493753378733,0,1,0,93,10,9,1
37,0,1,2,22.04098995821915,0,0,9,104,42,42,2
35,0,1,3,16.15729358574141,0,2,7,25,46,16,1
34,0,3,4,15.955632761534844,0,0,17,84,37,19,0
49,0,1,2,0.0767908914996935,0,2,6,11,75,42,1
26,0,2,1,16.6211781137609,0,1,13,120,46,39,0
42,1,3,3,4.47221124532009,0,0,7,57,1,8,2
47,0,3,1,18.348102432819047,1,1,13,123,63,4,0
43,0,0,1,12.982220399810966,0,0,12,153,49,23,0
22,1,0,4,13.738763405259029,0,0,14,41,32,23,2
47,0,2,2,5.414025970732938,0,0,13,41,12,37,2
17,0,1,2,7.000122725315501,0,0,7,64,99,30,1
35,1,2,3,15.377339078550412,0,2,4,70,6,22,1
32,0,3,4,19.523340679691536,0,1,4,159,11,9,0
34,0,3,0,0.1040047234215117,1,0,5,30,16,8,1
42,1,0,4,0.2083430979154554,1,0,7,67,12,23,2
21,0,3,2,14.269458380127126,0,1,4,154,98,41,2
44,0,1,4,5.006302227670698,0,1,9,50,66,31,2
19,1,0,2,0.1173756651621609,0,0,18,133,50,32,0
35,0,3,4,8.049810975124819,0,0,0,154,99,35,1
23,1,3,4,12.916498367338235,1,0,6,58,5,5,2
34,1,1,0,0.8237974447066936,0,0,12,15,12,43,1
34,1,3,4,21.878059521695626,0,0,3,30,75,2,1
38,1,3,1,10.47527759375945,0,0,17,121,97,22,0
39,1,0,1,18.65395463333169,0,0,8,63,22,10,2
28,1,1,2,2.144972678180441,0,1,9,90,61,33,2
17,1,3,0,7.484892804702967,0,0,15,128,54,2,0
20,0,2,0,23.80596954402576,0,2,18,85,40,42,0
22,1,1,2,22.730423340050976,0,1,2,39,94,33,1
17,1,1,2,12.193086187728476,0,0,15,41,69,8,2
32,0,0,4,14.83839709854987,0,2,4,22,94,0,1
39,0,3,2,13.867246592922204,0,0,8,25,37,16,1
39,1,3,1,1.3661981606995308,0,2,17,57,60,10,2
49,1,3,0,12.072871817293588,0,0,16,87,43,15,2
38,0,3,3,3.4687718520130018,1,0,17,144,66,33,0
34,1,1,0,13.603318800859208,0,0,2,175,39,6,2
31,0,2,3,0.0862149400559895,1,0,0,116,87,24,1
28,1,1,2,9.137538721628896,0,2,16,50,1,10,2
29,0,1,2,15.950668863259333,0,1,4,113,60,24,2
16,1,1,2,22.979993629787284,1,1,0,58,78,49,1
36,1,1,1,3.036347393090346,0,0,12,90,88,49,2
41,1,3,0,9.284498765577236,0,2,0,174,56,29,1
25,0,0,0,16.701144947941874,0,0,1,42,55,12,0
32,1,3,1,12.494784340026786,0,0,0,121,25,14,1
35,0,3,0,14.623057498225586,0,0,7,122,84,8,2
16,0,3,2,4.640089491925769,0,0,14,101,16,14,0
21,1,1,0,0.5582664599201896,0,0,0,78,83,10,1
17,0,1,1,7.776996943268202,0,2,9,23,95,13,1
18,0,3,0,8.369929463321544,0,0,14,66,93,0,1
18,1,0,2,16.900650423054103,0,0,14,10,68,12,1
42,1,0,2,14.072559138845914,1,1,12,166,26,17,0
25,1,3,3,2.7771861544095664,0,2,17,121,12,15,0
48,1,3,3,13.213722989479075,0,0,12,33,91,18,2
21,1,3,3,18.92241579747006,1,0,15,100,5,41,0
22,1,1,2,20.677884354823277,0,1,6,54,73,2,1
19,1,1,1,12.472905182492994,0,2,17,134,20,34,1
25,1,3,2,3.159607951959207,1,0,7,138,47,9,2
33,0,3,1,10.407704351995308,0,2,18,22,36,47,2
39,1,1,2,11.636632731807529,0,0,5,51,3,29,1
22,0,2,3,19.093379580561475,0,1,19,65,84,21,2
16,1,3,4,19.875609172660496,0,2,14,128,37,15,2
42,0,0,1,23.9626511345704,0,0,12,19,45,11,1
27,0,3,3,1.083337453616383,0,0,1,109,31,46,1
29,0,3,2,13.677773429983477,0,0,16,59,96,14,2
28,1,2,1,13.526723656111546,0,2,1,83,90,47,1
29,1,1,2,17.28211722870381,0,0,1,84,1,25,1
40,1,0,0,6.338532612779627,1,0,2,159,59,16,2
24,0,3,1,9.250829430579625,0,1,16,45,93,23,2
30,1,1,0,19.20262998196633,0,2,10,19,55,44,1
26,1,0,0,8.267218228299297,0,1,9,52,20,31,2
40,1,3,2,6.704494830734856,0,0,2,82,90,13,1
33,1,3,2,23.192670212106435,0,0,15,58,66,43,2
33,0,1,1,18.933043000805743,0,0,4,115,20,23,2
34,1,3,2,23.41097660995073,0,2,1,42,47,48,1
24,1,0,1,16.998471286423197,1,0,16,155,1,20,0
28,1,1,4,1.7728451073569769,0,2,11,34,45,38,0
31,0,0,1,22.870673808573628,0,1,3,101,12,15,1
27,1,3,1,5.78999781277487,0,1,12,144,7,34,0
28,0,3,1,21.765487066961622,0,2,4,122,68,46,2
49,1,3,0,1.9720586860616065,0,2,11,176,64,17,0
45,0,0,3,6.465228479152428,1,0,16,149,10,30,0
40,0,1,2,19.79137730037923,0,0,5,41,46,15,1
15,0,0,3,8.263152032147815,1,0,7,14,84,26,1
43,0,0,4,14.596159477139883,0,2,4,158,26,29,2
49,0,3,4,5.532945003644109,1,1,18,141,23,5,0
21,1,1,2,20.10264875178448,0,0,16,93,27,38,0
46,1,3,2,10.38757609632027,0,2,18,128,48,19,0
22,1,1,3,19.13797234250164,0,0,19,146,50,45,0
49,1,1,0,11.226014831729035,0,0,9,18,28,19,1
43,1,2,2,10.552853456208704,0,2,12,148,70,35,0
32,1,3,4,6.528790733061448,1,1,9,19,38,27,1
36,0,0,3,20.174914159218,1,0,4,115,6,23,2
24,0,3,0,2.926143799807435,0,1,6,128,98,44,2
25,1,3,0,11.838094753944024,0,1,5,169,51,24,2
46,1,3,4,11.694504423446167,0,0,14,171,29,48,0
19,1,0,2,17.01513699069065,0,1,17,108,86,14,0
17,0,1,0,10.408884836549,0,0,15,105,98,16,0
40,0,3,3,2.362327033108688,0,0,4,105,38,10,2
30,0,2,1,14.743459426114214,0,0,3,42,38,36,1
15,0,1,3,19.93279042574814,0,2,10,128,91,46,0
46,1,1,0,21.551461181706827,0,0,9,136,34,31,2
29,0,3,2,18.08214132966861,0,0,19,142,35,13,0
44,1,2,4,14.896349891610068,0,0,9,175,74,49,0
29,1,3,2,14.288612036618574,0,2,10,80,91,48,2
25,0,0,2,11.81301130679646,1,0,0,140,86,31,1
33,0,0,2,1.4203192195196053,0,1,3,168,19,49,2
36,1,1,3,8.1550044417957,0,2,11,136,10,5,0
40,0,0,0,23.560512518692327,0,2,8,41,69,10,2
47,0,2,4,11.862928444374935,1,0,3,116,16,31,2
21,1,1,0,23.22227847841497,0,0,14,21,23,46,2
49,1,3,2,5.0200290657549775,0,2,5,39,37,40,1
19,0,1,2,2.7640229666288008,0,2,9,91,49,7,2
23,1,0,3,11.783762104862552,1,0,4,68,68,42,2
48,1,3,3,11.33888485198128,0,0,14,77,16,27,2
32,1,1,3,14.485929079145068,0,0,13,163,39,45,0
22,0,3,3,15.040638544613554,0,2,8,162,4,49,2
45,0,1,4,19.15065530268944,0,0,18,66,95,4,2
31,0,3,3,5.573748614814944,0,1,18,122,55,33,0
26,0,0,3,9.859224825868964,0,0,14,43,87,11,2
27,0,1,4,0.3237788274675024,0,2,12,43,62,49,2
19,1,0,0,10.675452638524376,0,0,3,92,97,39,2
17,0,1,1,17.9931805634337,1,0,6,24,49,1,1
49,1,3,3,2.510313096558214,1,0,8,170,35,0,2
23,1,0,1,21.55540314721572,1,0,8,26,86,40,2
38,0,0,4,9.513584275543998,0,2,11,136,88,13,2
