customer_id,age,annual_income,employment_years,credit_score,debt_ratio,missed_payments_12m,loan_amount,interest_rate,prior_default,home_ownership,purpose,region,channel,application_month,default
CUST-00001,51,39533.76,3.7,598,0.469,0,4558.3,8.07,0,RENT,debt_consolidation,north,branch,10,0
CUST-00002,55,125261.09,12.3,638,0.225,0,15241.73,5.31,0,RENT,debt_consolidation,east,web,12,0
CUST-00003,67,58169.67,9.0,710,0.066,1,8504.4,4.39,0,RENT,small_business,west,branch,11,0
CUST-00004,34,31365.51,5.2,648,0.548,0,8641.82,7.12,0,OTHER,small_business,south,web,6,0
CUST-00005,34,147184.75,5.4,742,0.405,2,7387.29,5.92,0,OWN,vehicle,west,partner,11,0
CUST-00006,70,62342.28,1.2,598,0.653,0,23695.65,9.49,0,OWN,vehicle,north,mobile,7,0
CUST-00007,36,38792.45,2.5,734,0.576,0,24516.1,7.24,0,MORTGAGE,debt_consolidation,south,partner,7,0
CUST-00008,37,89809.14,16.1,639,0.23,1,20272.08,5.81,0,RENT,medical,south,branch,3,0
CUST-00009,32,82230.29,4.5,528,0.35,1,19755.91,9.68,0,MORTGAGE,medical,east,mobile,11,0
CUST-00010,36,57892.46,7.2,724,0.302,0,24398.47,5.48,0,OWN,home_improvement,east,partner,2,0
CUST-00011,33,130673.92,11.1,806,0.326,1,28011.87,4.87,0,RENT,debt_consolidation,west,web,12,0
CUST-00012,28,56922.39,6.2,747,0.379,0,25940.45,6.57,0,RENT,debt_consolidation,south,web,2,0
CUST-00013,50,146388.49,4.6,698,0.157,0,33966.71,5.13,0,MORTGAGE,medical,west,mobile,2,0
CUST-00014,26,46754.52,5.2,631,0.307,2,8634.41,8.33,0,MORTGAGE,debt_consolidation,east,branch,11,0
CUST-00015,46,96602.15,8.7,753,0.139,0,14540.74,3.76,0,OWN,home_improvement,east,web,9,0
CUST-00016,42,42420.64,10.8,649,0.484,1,44106.25,7.68,0,OWN,home_improvement,east,web,8,0
CUST-00017,40,47394.7,7.5,699,0.332,1,35249.98,5.08,1,OWN,vehicle,south,web,7,0
CUST-00018,52,51274.1,7.3,707,0.149,0,16790.99,5.31,0,OWN,debt_consolidation,south,branch,12,0
CUST-00019,44,159230.91,3.3,684,0.338,2,15250.39,6.63,0,MORTGAGE,debt_consolidation,west,web,3,0
CUST-00020,21,69484.41,3.0,655,0.606,1,18280.15,8.17,0,RENT,home_improvement,north,partner,3,0
CUST-00021,54,32560.64,2.1,726,0.391,2,29040.95,6.92,0,MORTGAGE,home_improvement,west,web,5,0
CUST-00022,29,65310.97,11.0,593,0.315,0,35485.71,8.94,0,RENT,small_business,east,web,8,0
CUST-00023,45,92468.72,7.0,598,0.366,2,9745.13,8.84,0,RENT,debt_consolidation,east,branch,5,0
CUST-00024,45,66543.54,3.8,671,0.639,1,13203.93,7.29,0,OWN,debt_consolidation,east,partner,1,0
CUST-00025,24,28169.35,,751,0.413,1,11070.31,5.91,0,MORTGAGE,medical,west,branch,5,0
CUST-00026,48,94276.78,7.5,701,0.258,0,7091.01,4.75,0,RENT,vehicle,west,branch,12,0
CUST-00027,55,31228.96,1.7,555,0.184,0,13644.13,8.82,0,MORTGAGE,debt_consolidation,east,partner,1,0
CUST-00028,55,77557.85,32.6,686,0.743,1,16471.51,8.09,0,MORTGAGE,home_improvement,east,partner,10,0
CUST-00029,56,83904.92,8.6,674,0.449,0,48617.46,6.57,0,RENT,small_business,south,mobile,6,0
CUST-00030,38,66638.28,10.0,702,0.125,2,20420.82,6.06,0,MORTGAGE,medical,north,mobile,8,0
CUST-00031,35,98762.39,8.4,751,0.279,0,45283.13,4.89,0,OWN,small_business,north,branch,7,0
CUST-00032,25,62784.81,7.0,610,0.285,0,30501.98,5.44,0,OWN,debt_consolidation,east,web,1,0
CUST-00033,29,130219.97,7.6,818,0.072,1,10327.9,3.5,0,RENT,home_improvement,south,branch,10,0
CUST-00034,37,45054.55,6.0,760,0.102,1,23871.94,3.55,0,RENT,debt_consolidation,east,web,7,0
CUST-00035,26,52882.88,8.0,774,0.301,0,42358.66,5.34,1,MORTGAGE,vehicle,north,web,8,0
CUST-00036,46,35417.1,5.8,668,0.166,1,14068.51,4.99,0,RENT,vehicle,east,web,12,0
CUST-00037,55,130367.86,4.7,649,0.505,2,11785.81,7.86,0,RENT,education,south,branch,5,0
CUST-00038,32,56930.45,6.5,710,0.38,2,28317.67,6.94,0,OWN,medical,north,web,11,0
CUST-00039,48,52990.79,0.4,609,0.125,2,7540.9,6.58,0,MORTGAGE,debt_consolidation,south,web,5,0
CUST-00040,50,29424.64,4.7,762,0.087,0,21672.56,4.38,0,OWN,debt_consolidation,east,web,8,0
CUST-00041,44,78758.49,,709,0.417,0,7093.62,6.82,0,RENT,small_business,east,branch,3,0
CUST-00042,49,25376.31,12.7,526,0.06,1,45099.97,9.21,0,MORTGAGE,debt_consolidation,east,branch,6,0
CUST-00043,41,102526.18,19.1,603,0.585,1,10231.87,9.86,0,RENT,home_improvement,north,branch,4,1
CUST-00044,31,52871.66,5.0,773,0.39,1,16324.64,3.93,0,RENT,medical,north,partner,2,0
CUST-00045,21,97624.7,3.0,616,0.074,1,17336.11,6.79,0,OWN,medical,north,branch,5,0
CUST-00046,49,70788.16,10.9,460,0.219,1,46257.05,11.16,0,MORTGAGE,vehicle,east,web,4,1
CUST-00047,62,59461.47,4.1,725,0.323,0,16883.05,6.25,0,MORTGAGE,vehicle,south,web,1,0
CUST-00048,42,102055.52,4.7,682,0.56,2,16650.99,7.02,0,MORTGAGE,home_improvement,east,web,8,0
CUST-00049,37,116764.27,19.0,585,0.458,0,28223.81,8.75,0,MORTGAGE,home_improvement,north,partner,2,1
CUST-00050,46,40362.05,10.1,646,0.2,0,13054.14,6.43,0,MORTGAGE,medical,east,mobile,11,0
CUST-00051,51,72650.23,5.9,655,0.255,0,23145.44,5.88,0,OWN,vehicle,south,branch,1,0
CUST-00052,53,20867.21,2.0,620,0.102,0,29267.16,6.59,0,MORTGAGE,medical,south,partner,3,0
CUST-00053,61,51988.69,5.0,726,0.356,0,6166.28,6.03,0,RENT,education,east,web,10,0
CUST-00054,41,100967.46,6.0,707,0.549,1,65133.95,6.56,0,MORTGAGE,education,north,web,8,0
CUST-00055,28,77575.87,3.7,626,0.132,2,25780.47,7.99,1,MORTGAGE,medical,east,web,6,0
CUST-00056,54,90282.26,2.2,623,0.123,0,27951.47,6.12,1,OTHER,debt_consolidation,south,mobile,3,0
CUST-00057,46,33899.21,3.4,699,0.497,1,11374.24,6.84,0,RENT,small_business,west,branch,3,0
CUST-00058,58,96139.44,3.5,675,0.415,1,20277.28,7.54,0,MORTGAGE,medical,south,branch,11,0
CUST-00059,48,71552.19,3.0,711,0.641,0,14229.05,7.96,0,RENT,debt_consolidation,east,web,2,0
CUST-00060,47,20549.52,6.7,619,0.124,0,10095.74,5.52,0,RENT,education,west,web,12,0
CUST-00061,21,32760.48,1.4,661,0.055,0,17575.68,4.92,0,RENT,debt_consolidation,north,web,4,0
CUST-00062,44,50124.6,4.7,689,0.225,2,20972.6,7.32,0,OWN,education,east,mobile,2,0
CUST-00063,48,97842.68,1.8,798,0.306,1,11945.32,4.19,0,RENT,small_business,south,partner,9,0
CUST-00064,40,54575.85,15.4,585,0.26,1,27601.37,6.85,0,MORTGAGE,debt_consolidation,north,branch,5,0
CUST-00065,47,73694.83,3.5,630,0.698,0,15793.28,6.21,0,RENT,debt_consolidation,west,partner,11,1
CUST-00066,40,104577.96,14.4,749,0.192,2,10489.45,5.75,1,MORTGAGE,debt_consolidation,south,branch,2,0
CUST-00067,46,56238.29,,634,0.243,0,23909.89,6.33,0,RENT,medical,west,web,4,0
CUST-00068,55,68681.12,8.1,643,0.125,0,12689.77,5.99,1,OWN,education,south,web,6,0
CUST-00069,31,60587.75,13.0,615,0.192,1,54669.84,6.53,0,OWN,debt_consolidation,south,branch,12,0
CUST-00070,38,55250.5,7.0,711,0.422,0,16468.9,7.47,0,OWN,debt_consolidation,west,branch,6,0
CUST-00071,21,56419.01,3.0,784,0.303,0,14552.0,5.4,0,MORTGAGE,debt_consolidation,south,mobile,10,0
CUST-00072,45,49846.45,,615,0.226,1,10960.14,7.34,0,MORTGAGE,debt_consolidation,east,branch,9,0
CUST-00073,41,63000.81,5.2,557,0.275,1,42073.18,9.4,0,RENT,education,west,partner,6,0
CUST-00074,49,35242.52,2.8,617,0.273,0,27495.88,7.14,1,MORTGAGE,vehicle,west,partner,1,0
CUST-00075,46,38967.17,8.9,604,0.333,1,8324.75,7.92,0,OWN,home_improvement,east,web,1,0
CUST-00076,29,40681.61,6.8,779,0.539,1,25655.08,7.71,0,OWN,debt_consolidation,west,mobile,2,0
CUST-00077,32,63072.58,3.1,754,0.199,2,35557.47,5.42,0,RENT,debt_consolidation,east,mobile,8,0
CUST-00078,43,71803.72,4.1,678,0.376,1,16998.44,8.18,0,MORTGAGE,education,north,mobile,7,0
CUST-00079,56,100385.27,3.4,648,0.162,0,6970.52,5.27,0,MORTGAGE,vehicle,north,mobile,8,0
CUST-00080,36,73394.35,5.7,752,0.327,1,25350.79,5.26,0,MORTGAGE,debt_consolidation,west,mobile,6,0
CUST-00081,34,33628.56,10.6,682,0.224,1,4490.65,6.38,0,MORTGAGE,medical,east,branch,9,0
CUST-00082,31,84769.65,10.6,667,0.415,0,16245.62,6.46,0,RENT,debt_consolidation,east,branch,6,0
CUST-00083,48,57203.11,7.6,700,0.123,0,17094.76,5.49,0,RENT,education,south,web,12,0
CUST-00084,37,42459.95,10.6,671,0.14,1,11543.52,6.51,0,MORTGAGE,home_improvement,south,mobile,6,0
CUST-00085,23,30959.19,5.0,586,0.491,0,37331.69,9.15,1,MORTGAGE,small_business,east,web,10,1
CUST-00086,49,48671.3,,674,0.081,1,12569.09,4.07,0,RENT,education,south,branch,5,0
CUST-00087,56,68608.6,6.8,592,0.512,2,8685.43,10.79,1,MORTGAGE,vehicle,west,web,7,1
CUST-00088,38,75191.64,2.0,639,0.02,0,22925.43,4.68,0,MORTGAGE,vehicle,west,web,8,0
CUST-00089,40,46956.13,12.5,781,0.148,0,80423.29,4.31,0,OWN,vehicle,north,web,6,0
CUST-00090,50,53644.03,10.8,759,0.319,1,23440.45,4.23,0,RENT,vehicle,west,partner,3,0
CUST-00091,53,40606.95,6.8,634,0.381,0,21577.7,7.52,0,MORTGAGE,debt_consolidation,west,web,6,0
CUST-00092,49,31149.64,,679,0.55,1,8520.99,6.93,0,RENT,medical,south,web,3,0
CUST-00093,48,45725.06,4.0,624,0.404,0,24745.63,7.66,1,RENT,education,east,web,12,0
CUST-00094,39,,10.4,648,0.344,0,16994.83,6.35,0,MORTGAGE,debt_consolidation,east,mobile,6,0
CUST-00095,42,40914.44,7.9,680,0.318,1,21268.72,7.28,0,MORTGAGE,home_improvement,east,branch,6,0
